Store_Number,Store_Name,Status,WFM_Region,WFM_Region_Abbr,Op_Area,UNFI_DC,UNFI_Region,Distributor,Merch_Partner,Wire_Rack,DC_Source,Address,City,State,Zip,Latitude,Longitude
10190,Coral Gables,Open,Florida,FL,Southeast,"Sarasota, FL",East,UNFI,Final Touch,No,mapped,6701 SW 57th Ave,South Miami,FL,33143,25.7062817,-80.2847
10088,Coral Springs,Open,Florida,FL,Southeast,"Sarasota, FL",East,UNFI,Final Touch,No,mapped,810 N University Dr,Coral Springs,FL,33071,26.2425175,-80.2567
10430,Cottonwood Heights,Open,Rocky Mountain,RM,Central West,"Aurora, CO",West,UNFI,Basemakers,No,mapped,6930 S Highland Dr,Salt Lake City,UT,84121,40.6250763,-111.8359
10315,Cranbrook,Open,Midwest,MW,Midwest,"Sturtevant, WI (RAC)",East,UNFI,Uncovered,No,mapped,990 W Eisenhower Pkwy,Ann Arbor,MI,48103,42.2485428,-83.7582
10254,Cranston,Open,North Atlantic,,North Atlantic & International,"Dayville, CT",East,Rainforest,Final Touch,No,mapped,151 Sockanosset Cross Rd Garden City Center,Cranston,RI,2920,41.7559052,-71.456
10464,Cross Hill,Open,South,SO,Southeast,"Atlanta, GA",East,UNFI,Uncovered,No,mapped,702 Cross Hill Rd Ste 300,Columbia,SC,29205,33.9930992,-80.9753
10870,Crystal City,Open,Mid-Atlantic,MA,Northeast,"York, PA",,UNFI,Uncovered,No,inferred (region modal),1550 Crystal Dr,Arlington,VA,22202,38.8596649,-77.0496
10764,Culver City,Open,Southern Pacific,SP,California,"Moreno Valley, CA",,UNFI,Basemakers,Yes,inferred (region modal),3377 S La Cienega Blvd,Los Angeles,CA,90016,34.0270576,-118.3727
10002,"DLS Dallas, TX (Greenville)",Closed,Southwest,SW,Central West,"Lancaster, TX",,Unknown,Uncovered,No,inferred (region modal),2218 Lower Greenville Ave,Dallas,TX,75206,32.8165169,-96.7696
10682,Dadeland,Open,Florida,FL,Southeast,"Sarasota, FL",East,UNFI,Final Touch,No,mapped,7930 SW 104th St,Miami,FL,33156,25.6734009,-80.3233
10455,Danbury,Open,Northeast,NE,Northeast,"Montgomery, NY (HVA)",East,Rainforest,Final Touch,Yes,mapped,5C Sugar Hollow Rd,Danbury,CT,6810,41.3778648,-73.4757
10300,Darien,Open,Northeast,NE,Northeast,"Montgomery, NY (HVA)",East,Rainforest,Final Touch,Yes,mapped,150 Ledge Rd,Darien,CT,6820,41.0732727,-73.4762
10549,Davie,Open,Florida,FL,Southeast,"Sarasota, FL",East,UNFI,Final Touch,No,mapped,1903 S University Dr,Davie,FL,33324,26.0967197,-80.252
10479,Davis,Closed,Northern California,NC,California,"Rocklin, CA",,Unknown,Uncovered,No,inferred (region modal),500 1st St,Davis,CA,95616,38.5413322,-121.7408
10558,Dayton,Open,Midwest,MW,Midwest,"Sturtevant, WI (RAC)",East,UNFI,Uncovered,No,mapped,1050 Miamisburg Centerville RD,Washington Township,OH,45459,39.6267853,-84.1903
10567,DePaul,Closed,Midwest,MW,Midwest,"Sturtevant, WI (RAC)",East,Unknown,Uncovered,No,mapped,959 W Fullerton Ave,Chicago,IL,60614,41.9251328,-87.6535
10687,Decatur,Open,South,SO,Southeast,"Atlanta, GA",East,UNFI,Basemakers,No,mapped,1555 Church St,Decatur,GA,30033,33.792778,-84.2842
10319,Dedham,Open,North Atlantic,,North Atlantic & International,"Chesterfield, NH",East,Rainforest,Final Touch,No,mapped,300 Legacy Pl,Dedham,MA,2026,42.2326355,-71.1778
10116,Deerfield,Open,Midwest,MW,Midwest,"Sturtevant, WI (RAC)",East,UNFI,Final Touch,No,mapped,760 Waukegan Rd,Deerfield,IL,60015,42.1662331,-87.848
